OCLC,TITLE,AUTHORS,PUB_DATE,PUBLISHER,GENRE,SUMMARY,FORMAT,RECORD #(BIBLIO),CALL #(BIBLIO),LANG,LOCATION,SUBJECT
828056065,Collapse of dignity,"Napoleo\\xcc\\x81n Go\\xcc\\x81mez Urrutia,  Go\\xcc\\x81mez Urrutia  Napoleo\\xcc\\x81n ",2013,"BenBella Books, Inc.",,In the early morning hours of February 19  2006  a sudden blast shook a coal mine in northern Mexico  trapping sixty-five workers in a subterranean tunnel  Labor department inspectors and the company operating the mine had ignored the egregiously hazardous state of the work site and were failing miserably at a rescue effort  The senseless tragedy-- stemming directly from an insatiable hunger for profits-- set off a massive confrontation between the National Miners Union and the transnational corporations that wield great power in the countrys government ,24 cm,b38645993,HD6534.M615 G66 2013,eng,hxxx0,"Coal miners -- Labor unions -- Mexico -- Nueva Rosita;""Coal mine accidents -- Mexico"";""Mine explosions -- Mexico -- Nueva Rosita"";""Sindicato Minero (Mexico)"""
77504736,Don't take the last donut,Judith Bowman,2007,Career Press,,,22 cm,b3864602x,HF5389 .B69 2007,eng,hxxx0,"Business etiquette;""Self-presentation"";""Interpersonal relations"""
120001,Hegel's philosophy of nature,"Georg Wilhelm Friedrich Hegel,  ,  Michael John Petry",1970,"Humanities Press, Allen &amp; Unwin",,,25 cm.,b11820627,B2918.E5 P4 1970,eng,hxxx0,Philosophy of nature
828245962,Indian Jews,Nathan Katz,2013,Manohar Publishers &amp; Distributors,Bibliography ,During the early 21st century  the study of Indian Jewish communities has become mainstream as scholars of religions have become fascinated by the persistence and cultural adaptations of Indias tiniest community  and as Jewish studies scholars have sought more inclusive paradigms for understanding the Jewish Diaspora  A similar surge of interest among scholars of South Asia is just beginning  but knowledge about Judaism and Indian Jewish communities remains undeveloped  although Indian scholars have begun to contribute in significant ways to Indo-Judaic Studies --  This bibliography is designed to assist students and scholars who wish to explore Indias rich and varied Jewish heritage  It is also intended for the more casual reader  especially Indian Jews themselves whether at home in India or relocated in Israel  the United States  England or Australia  It begins with Menasseh ben Israels 1665 book  and 2005 was selected as a point of closure --,23 cm,b38646031,Z6373.I4 K38 2013,eng,hxxx0,Jews -- India -- Bibliography
32238954,Hidden holocaust?,"Claudia Schoppmann,  Gu\\xcc\\x88nter Grau",1995,Cassell,History ,,22 cm,b38646043,HQ76.3.G4 H6613 1995b,eng,hxxx0,"Homosexuality -- Government policy -- Germany -- History -- 20th century;""Sex discrimination -- Germany -- History -- 20th century"";""National socialism"";""Gays -- Nazi persecution -- Germany"";""Gays -- Government policy -- Germany -- History -- 20th century"";""Gays -- Legal status, laws, etc. -- Germany -- History -- 20th century"";""Homosexuality -- Law and legislation -- Germany -- History -- 20th century"""
24657147,The Best American Essays 1991,"Joyce Carol Oates,  Robert Atwan",1991,Ticknor &amp; Fields,Essays ,Compiles a selection of the best literary essays of the year 1990 which were originally published in American periodicals ,22 cm,b38646055,PS688 .B47 1991,eng,hxxx0,American essays -- 20th century
32854342,The others,Paul Shepard,1996,Island Press,,The Others is a fascinating and wide-ranging examination of how diverse cultures have thought about  reacted to  and interacted with animals  Author Paul Shepard argues that humans evolved while watching other animal species  participating in their world  suffering them as parasites  wearing their feathers and skins  and making tools of their bones and antlers  For millennia  we have communicated their significance by dancing  sculpting  performing  imaging  narrating  and thinking them  The human species cannot be fully itself without these others ,23 cm,b23275790,QL85 .S49 1996,eng,"hxxx0,hsxx0","Human-animal relationships;""Human ecology"";""Philosophical anthropology"""
9892458,An account of the people called Shakers,"  Thomas Jefferson,  J  P MacLean,  Thomas Brown,  Brown  Thomas ",1812,"Printed by Parker and Bliss, sold at the Troy Bookstore, by Websters and Skinners, Albany, and by S. Wood, New-York",Biography ,,18 cm (12mo,b38646134,BX9771 .B8 1812,eng,hsxx0,"Shakers;""Brown, Thomas, 1766-"";""Shakers -- New York (State) -- Biography"";""New York (State) -- Biography"""
229315133,"Buffy the vampire slayer, season 8, volume 1.","Andy Owens,  Georges Jeanty,  PaulLee,  Joss Whedon",1998 2007,Dark Horse,"Comic books  strips  etc   Comics (Graphic works,  Horror comic books  strips  etc   Graphic novels ",Describes the adventures of Buffy after the events covered by the television program  as she faces a mysterious threat called Twilight ,26 cm,b38646146,PN6728.B84 W44 2007,eng,hxxx0,"Vampires -- Young adult fiction;""Comic books, strips, etc"";""Graphic novels"""
930045,The rise and progress of the serpent from the garden of Eden to the present day,"  Dyer  Mary M  ,  Lee  Ann ,  Mary M  Dyer",1847,Printed for the author,Controversial literature ,,19 cm,b38642554,BX9773.M4 A3 1847,eng,hsxx0,"Shakers -- Controversial literature;""Lee, Ann, 1736-1784"";""Dyer, Mary M., 1780-"""
840504555,The story of Arion and the dolphin,"George Ratcliffe Woodward,  Andrew Hoyem",2013,The Arion Press,Poetry ,,20 cm.,b3864616x,XP14.H6 S767 2013,eng,hsxx0,"Arion -- Poetry;""Narrative poetry, English"""
304387222,"The Marne, 1914",Holger H Herwig,2009,Random House,,It is one of the essential events of military history  a cataclysmic encounter that prevented a quick German victory in World War I and changed the course of two wars  This is a bold new account of the Battle of the Marne  giving  for the first time  all sides of the story  Military historian Holger H  Herwig reinterprets Germanys aggressive Schlieffen Plan as a carefully crafted design to avoid a protracted war against superior coalitions  He also provides cameos of the important players  In remarkable detail  and with exclusive information based on newly unearthed documents  Herwig re-creates the dramatic battle  revealing how the uncoordinated German forces were foiled and years of brutal trench warfare were made inevitable --From publisher description ,25 cm,b38646171,D543.M3 H477 2009,eng,hxxx0,"Marne, 1st Battle of the, France, 1914"
32133386,Multicultural voices,Rita Dove,1995,ScottForesman,Literary collections   Problems and exercises ,The book offers an outstanding collection of fiction  nonfiction  poetry  and drama that celebrates the immense diversity of American culture  Included are recent works by Americans of varied cultural background  African  Asian  Hispanic  Native American  European  and Middle Eastern  Eight thematically organized units include a wide range of new literary voices and illustrate the different perspectives and enormous breadth of current American writing -Back cover ,24 cm.,b38646183,XA14.O73 M8 1995,eng,hsxx0,"American literature -- Minority authors;""Ethnic groups -- United States -- Literary collections"";""Cultural pluralism -- Literary collections"";""Minorities -- United States -- Literary collections"";""American literature -- 20th century"";""American literature -- Minority authors -- Problems, exercises, etc"""
13040926,"U.S.-Arab relations, the literary dimension","Nu\\xca\\xbbaymah  Mi\\xcc\\x84kha\\xcc\\x84\\xca\\xbci\\xcc\\x84l ,  Madi  Elia Abu ,  Rihani  Ameen Fares ,  Gibran  Kahlil ,  Gregory Orfalea",1984,National Council on U.S.-Arab Relations,,,22 cm.,b31559876,"XA14.O73 U8 1984;""Gregory Orfalea Collection""",eng,hsxx0,"Arabic literature -- 20th century -- American influences;""Authors, Arab -- United States"";""Gibran, Kahlil, 1883-1931"";""Rihani, Ameen Fares, 1876-1940"";""Nuʻaymah, Mīkhāʼīl, 1889-1988"";""Madi, Elia Abu, 1890-1957"""
1255991,The Betrayal of Marx,"Lenin  Vladimir Il\\xca\\xb9ich ,  Marx  Karl ,  ,  Stalin  Joseph ,  Frederic L Bender",1975,Harper &amp; Row,History ,,20 cm.,b38646195,B809.8 .B47 1975,eng,hxxx0,"Dialectical materialism;""Marx, Karl, 1818-1883"";""Lenin, Vladimir Ilʹich, 1870-1924"";""Stalin, Joseph, 1879-1953"";""Soviet Union -- History -- Revolution, 1917-1921"""
33928540,The condition of American liberal education,"Bruce A  Kimball,  Robert Orrill",1995,College Entrance Examination Board,,,23 cm,b38646201,LC1011 .K557 1995,eng,hxxx0,"Education, Humanistic -- United States;""Pragmatism"";""Education, Higher -- United States -- Philosophy"""
53387440,Preparing future faculty in the humanities and social sciences,Jerry G Gaff,2003,"Association of American Colleges and Universities, Council of Graduate Schools",,,23 cm,b38646213,H62.5.U5 P634 2003,eng,hxxx0,"Social science teachers -- Training of -- United States;""College teachers -- Training of -- United States"""
29361186,Race and gender in the American economy,Susan Feiner,1994,Prentice Hall,,,23 cm,b38646237,HN90.S6 R33 1994,eng,hxxx0,"Equality -- United States;""United States -- Social conditions -- 1980-"";""United States -- Economic conditions -- 1981-2001"";""Racism -- United States"";""United States -- Race relations"";""Sexism -- United States"";""Racism -- Economic aspects -- United States"";""Sexism -- Economic aspects -- United States"";""Inequality"";""United States"""
15358320,Wrapping the grapeleaves,Gregory Orfalea,1982,American-Arab Anti-Discrimination Committee,Poetry ,,22 cm,b38646249,XA14.O73 W7 1982,eng,hsxx0,Arab Americans -- Poetry
192045608,The American economic history reader,"John W Malsberger,  James N Marshall",2009,Routledge,History ,,26 cm,b38646262,HC103 .A453 2009,eng,hxxx0,"United States -- Economic conditions;""United States -- Economic policy"";""Economics -- United States -- History"""
853622500,Xiao xue ji jie,"Lanting  e Jiao ding Li,  Xi Zhu,  Boxing Zhang", 30 1850 ,Ben li tang,Early works ,,27 cm,b38646328,BJ1558.C5 .Z5,chi,haxx0,Conduct of life -- Early works to 1900
8035976,"Water law, with special reference to ground water",C  L McGuinness,1951,"U.S. Dept. of the Interior, Geological Survey",,,27 cm.,b38646481,QE75 .C5 no.117,eng,hsxx0,Groundwater -- Law and legislation
25065214,"Flood control and water conservation, 1945.",,1945,Donald R. Warren Co.,,,28 cm,b38646493,TC424.C2 V46 1945,eng,hsxx0,Flood control -- California
1993972,Summary appraisals of the Nation's ground-water resources--California region,"H  E Thomas,  David A  Phoenix",1976,U.S. Govt. Print. Off.,,Problems and opportunities related to the use of ground water in highly diverse hydrologic and social environments ,29 cm.,b3864650x,GB1025.C2 T47,eng,hsxx0,"Groundwater -- California;""Groundwater -- West (U.S.)"";""Water-supply -- California"";""Water-supply -- West (U.S.)"""
23236716,"Shorter contributions to general geology, 1930.",,1931,U.S. G.P.O.,,,30 cm.,b38646535,QE75 .P9 no.165 1930,eng,hsxx0,"Sedimentary rocks -- Black Hills (S.D. and Wyo.);""Petrology -- Black Hills (S.D. and Wyo.)"";""Paleobotany -- Wyoming"";""Geology -- California -- Santa Monica Mountains"";""Geology -- Montana"";""Mineralogy -- Clay"""
55593409,Data of geochemistry.,"Donald Edward White,  John David Hem,  Gerald A Waring",1963,U.S. G.P.O.,,,29 cm.,b38646547,GB1001.7 .W54 1963,eng,hsxx0,"Groundwater;""Water -- Analysis"";""Geochemistry"""
56609430,"Sacramento-San Joaquin delta, California",,1982,"U.S. Army Corps of Engineers, Sacramento District",,,28 cm.,b38646559,TC977 .C2 U55 S23 1982,eng,hsxx0,"Water resources development -- Environmental aspects -- California -- Sacramento River Watershed;""Water resources development -- Environmental aspects -- California -- San Joaquin River Watershed"";""Environmental impact statements -- California -- Sacramento River Watershed"";""Environmental impact statements -- California -- San Joaquin River Watershed"""
849739645,The force required to move particles on a stream bed,William Walden Rubey,1938,U.S. G.P.O.,,,29 cm.,b38646572,QA913 .R83 1938,eng,hsxx0,Hydrodynamics
36860541,Statistical control in hydrologic forecasting,Harold Gridley Wilm,1950,"State University, College of Forestry at Syracuse University",Statistics ,,22 cm,b38646584,GB845 .W55 1950,eng,hsxx0,Hydrological forecasting -- Statistics
4700831,"Results of spirit leveling in California, 1907 to 1910, inclusive",R  B Marshall,1911,Govt. Print. Off.,Surveys ,,23 cm.,b38646596,QE75 .B9,eng,hsxx0,"California -- Altitudes;""Sacramento Valley (Calif.) -- Altitudes"";""Salinas River Valley (Calif.) -- Altitudes"";""San Joaquin Valley (Calif.) -- Altitudes"""
22982135,North Delta Program,,1990,The Dept.,,,28 cm,b38646614,TC424 .C2 N67 1990x Suppl,eng,hsxx0,"Water Project Authority of the State of California;""Water quality management -- California -- Delta Region"";""Flood control -- California -- Delta Region -- Management"";""Water-supply -- California -- Delta Region -- Management"";""Water resources development -- California -- Delta Region"""
5804881,"Forest conditions in the Black Mesa Forest Reserve, Arizona","Arthur Dodwell,  Fred G Plummer,  Theodore F Rixon",1904,Govt. Print. Off.,,,29 cm.,b38646626,QE75 .P9 1904,eng,hsxx0,"Forests and forestry -- Arizona;""Black Mesa Forest Reserve, Arizona"""
213865294,General review of the water resources of Southern California for the water year 1953-54,"Walter Hofmann,  W  M Littlefield,  R  C Briggs",1955,"U.S. Dept. of the Interior, Geological Survey, Water Resources Division",,,27 cm.,b38646638,TC424.C2 H64 1955,eng,hsxx0,"Water resources development -- California, Southern;""Water-supply -- California, Southern"";""Runoff -- California, Southern"""
17447554,Farm water management options for drainage reduction,,1987,The Subcommittee,,,28 cm,b3864664x,TC977.C2 S26 1987,eng,hsxx0,"Drainage -- California -- San Joaquin Valley -- Management;""Irrigation -- California -- San Joaquin Valley -- Management"";""Salinization -- California -- San Joaquin Valley"""
5904477,General field and office procedures for indirect discharge measurements,"Tate Dalrymple,  M  A Benson",1967,U.S. G.P.O.,,,26 cm.,b38646651,TC409 .U54 1967,eng,hsxx0,Stream measurements
5464151,Flood plain information,,1971,The District,,,27 cm,b38646663,TC423 .S22 1971L,eng,hsxx0,"Flood control -- California;""Floods -- California -- Tahoe City"";""Truckee River (Calif. and Nev.)"""
754843187,"Study drafts, principles for settlement in the Orange County case",,1966,publisher not identified,Trials  litigation  etc ,,28 cm,b38646675,KFC791 .A56 1966,eng,hsxx0,"Water rights -- California -- Orange County -- Cases;""Water rights -- California -- Riverside -- Cases"";""Water rights -- California -- Santa Ana River Watershed -- Trials, litigation, etc"";""Water-supply -- California, Southern -- Trials, litigation, etc"""
19469776,City of Los Angeles Urban Water Management Plan,,1985,Dept. of Water and Power,,,28 cm,b38646687,HD1694.C2 C58 1985,eng,hsxx0,"Water conservation -- California -- Los Angeles;""Water-supply -- California -- Los Angeles"""
23026307,Alternate features to the proposed Greater Central Valley-Southern California multipurpose water development plan,"Richard J  Dolwig,  L  Cedric Macabee",1960,"Engineering Office of L. Cedric Macabee, Consulting Engineers",,,28 cm,b38646699,TC424.C2 M33 1960,eng,hsxx0,"Dolwig Water Plan (Calif.);""Water Project Authority of the State of California"";""Feather River Project (Calif.)"";""Water resources development -- California"""
15338804,Ground water quality data,,1960,,,,28 cm,b38646705,TD225.O6 C12,eng,hsxx0,"Groundwater -- California -- Orange County;""Water -- Analysis"";""Water-supply -- California"""
20372523,Sacramento-San Joaquin Delta recreation concept plan,"Marcia A Geidel,  Susan J Moore,  Edilberto Z Cajucom",1981,Dept.?,,,28 cm,b38646717,GV182 .G45 1981,eng,hsxx0,"Recreation areas -- California -- Delta Region -- Planning;""Delta Region (Calif.) -- Recreational use -- Planning"";""Delta Region (Calif.)"""
6722403,"Rules and regulations governing the determination of rights to the use of water in accordance with the Water commission act (chapter 586, Statutes of 1913) and amendments thereto",,1925,The Division,,,23 cm,b38646729,HD1694.C2 C28,eng,hsxx0,Water rights -- California
7043635,Sacramento-San Joaquin Delta outdoor recreation survey,Edilberto Z Cajucom,1980,"State of California, Dept. of Water Resources",,,28 cm,b38646730,GV191.42.C2 S123,eng,hsxx0,"Outdoor recreation -- California;""Recreation areas -- California"""
58741684,The California water plan,John M Haley,1956,publisher not identified,,,,b38646742,TD224.C2 C35 1956,eng,hsxx0,Water resources development -- California
724577914,Advance copy of bulletin no. 25,,1930,"California Dept. of Public Works, Division of Water Resources",,,28 cm.,b38646754,TC424.C2 A6 1930,eng,hsxx0,Water-supply -- California
24876103,"Preliminary report on impounding reservoir, Matadero Creek.",Harry N Jenks,1957,Santa Clara County Flood Control &amp; Water Conservation District,,,28 cm,b38646766,TC424.C2 J46 1957,eng,hsxx0,"Santa Clara County Flood Control and Water Conservation District;""Flood control -- California -- Santa Clara County"";""Santa Clara County (Calif.)"";""Matadero Creek (Calif.)"""
852490890,Indicators of erosion on watershed land in California,Clark H Gleason,1953,American Geophysical Union,,,25 cm,b38646778,S624.C2 G54 1953,eng,hsxx0,"Soil erosion -- California;""Environmental indicators -- California"";""Watershed management -- California"""
13503913,Southern California Water and Soil Conservation Conference featuring the management of storm and other waters for beneficial use.,,1939,,,,,b3864678x,HD1694.C2 S6,eng,hsxx0,"Water conservation;""Water-supply -- California"";""Soil conservation -- California"""
320233656,A summary of the Metropolitan Water District Project,William Paul Whitsett,1930,publisher not identified,,,,b38646791,HD1694.C2 W55 1930,eng,hsxx0,"Metropolitan Water District of Southern California (Calif.) -- History;""Water-supply -- California, Southern"";""Regional planning -- California, Southern"""
4044827,Ground water,,1968,Ground Water Resources Institute,,,23 cm,b38646808,GB1003 .N38 1968,eng,hsxx0,Groundwater
798961443,Vital signs,"Tracy Buck,  Britta Long,  Shelley Brittingham,  Bonnie Thompson Norman,  Elaine Hillenmeyer,  Michiko Parker,  Ingrid Stipes",2010,Window Pane Press,,Words from common traffic signs are paired with life advice ,34 cm,b3864681x,N7433.3 .N67 2010,eng,dsxx0,Artists' books
771068633,Interior skies,"Abigail Rorer,  Gray Parrot,  Anthony Hecht,  Philip Hoy",2011,Two Ponds Press,Poems  Specimens   Binders tickets (Binding,,33 cm,b38646821,PS3558.E28 I6 2011,eng,dsxx0,"Paste papers -- Specimens;""Poems -- Maine -- Camden -- 21st century. rbgenr"";""Binders' tickets (Binding) -- Parrot -- 2011. rbbin"""
703605183,Endure,"  Naomi Shihab Nye,  Terry Horrigan,  Darwi\\xcc\\x84sh  Mah\\xcc\\xa3mu\\xcc\\x84d",2010,Protean Press,Poetry ,,22 cm,b38646833,PS3564.Y44 E53 2010,eng,dsxx0,"Darwīsh, Maḥmūd -- Poetry"
812897544,Wrinkles &amp; creases,"Josephine Christen,  Kay Bradner,  Van Hoesen  Beth ,  ,  Beth Van Hoesen,  Lawrence G Van Velzer",2010,Editions Koch,"Limitation statements (Publishing,  Goatskin bindings (Binding,  Mould-made papers (Paper,  Drypoints (Prints,  Intaglio prints   Artists books",,40 cm,b38646845,NE539.V36 A4 2010,eng,dsxx0,"Van Hoesen, Beth, 1926-2010;""Newborn infants in art"";""Prints, American"";""Intaglio prints. aat"";""Drypoints (Prints) aat"";""Mould-made papers (Paper) -- France. rbpap"";""Artists' books -- California -- Berkeley -- 2010. aat"";""Goatskin bindings (Binding) -- California -- Berkeley. rbbin"";""Limitation statements (Publishing) -- California -- Berkeley. rbpub"""
43583836,Nicolas Louis Robert and his endless wire papermaking machine,"Michael Bixler,  Schlosser  Leonard B ,  Henry Morris,  Robert  Nicolas Louis ,  ,  Winifred Bixler",2000,Bird &amp; Bull Press,"Biography   Artists books   Typefaces (Type evidence,  Typefaces (Type evidence,   History ",,29 cm +,b38646857,TS1098.R63 M67 2000x,eng,dsxx0,"Robert, Nicolas Louis, 1761-1828;""Schlosser, Leonard B"";""Papermakers -- France -- Biography"";""Papermaking machinery -- History"";""Papermaking -- History"";""Artists' books -- Pennsylvania"""
845330316,An excerpt from Five hymns to pain,"  Rice  Felicia ,  Husain Haddawy,  Felicia Rice,  Na\\xcc\\x84zik Mala\\xcc\\x84\\xca\\xbcikah",2012,Moving Parts Press,Broadside poems  Specimens   Broadsides  Artists books,On March 5th  2007  more than 30 people were killed when a car bomb was exploded on Mutanabbi Street  an old and established street for bookselling in the heart of Baghdad\s literary and intellectual community  To protest the bombing  the Mutanabbi Street Coalition  a group started by San Francisco poet and bookseller Beau Beausoleil  organized readings and invited letterpress printers to produce broadsides by Iraqi poets and writers  Moving Parts Press contributed An Excerpt from Five Hymns to Pain by Nazik al-Malaika--Moving Parts Press website  viewed on July 29  2014   This book is dedicated to the literary and intellectual community of al-Mutannabi Street  Baghdad  The text was selected from \The Poetry of Arab Women: A Contemporary Anthology\ edited by Nathalie Handal  Designed and printed by Felicia Rice with the help of Stephen Acerra and Maren Preston--Colophon ,113 x 21 cm,b38646869,N7433.4.R52 E93 2012,eng,dsxx0,"Rice, Felicia;""Artists' books -- California -- Specimens"";""Broadsides -- California -- Specimens"""
733579361,Reparations,"  Douglas  Emory ,  Emory Douglas",2009,Imprint of the San Francisco Center for the Book,Specimens ,,11 x 11 cm,b38646870,N7433.4.D68 R47 2009,eng,dsxx0,"Douglas, Emory;""African Americans -- Reparations"";""Artists' books -- United States -- Specimens"";""African American artists"";""Graphic artists -- United States"""
793250034,Al-Mutanabbi I,"Elsi Vassdal Ellis,  Ellis  Elsi Vassdal ",2011,EVE Press,Artists books,This collection supports and promotes awareness to the important mission and framework of the Al-Mutanabbi Street Starts Here Coalitions focus on the lasting power of the written word and the arts in support of the free expression of ideas  the preservation of shared cultural spaces  and the importance of responding to attacks  both overt and subtle  on artists  writers  and academics working under oppressive regimes or in zones of conflict  despite the destruction of that literary/cultural content ,15 x 24 cm,b38646882,N7433.35.I72 E45 2011,eng,dsxx0,"Ellis, Elsi Vassdal;""Artists' books -- Iraq"";""Bombings -- Iraq -- Baghdad"";""Booksellers and bookselling -- Iraq -- Baghdad"";""Shāriʹ al-Mutanabbī (Baghdad, Iraq)"";""Artists' books -- 2011. aat"""
794780923,Tangent,Alise Alousi,2011,Bradypress,,Poem written in memory of those who lost their lives in the car bombing of 5 March 2007 on Al-Mutanabbi Street in Baghdad ,16 cm,b38646894,PS3551.L665 T36 2011,eng,dsxx0,Poetry -- 21st century
835726405,Astra Velum,"Liedtke  Fritz ,  Gina Ochsner",2012,Rory Sparks,,,33 cm,b38646900,TR140.L534 A87 2012,eng,dsxx0,"Leidtke, Fritz;""Photography, Artistic"";""Portrait photography"";""Photography of women"""
785729070,Accounting.,"Maureen Cummins,  Leo Stein",2011,Maureen Cummins,Artists books   Conceptual art   History   Artists books,,35 x 11 cm,b38646912,N7433.4.C86 A74 2011,eng,dsxx0,"Triangle Shirtwaist Company -- Fire, 1911;""Fires -- Casualties -- New York (State) -- New York -- History -- 20th century"";""Clothing trade -- New York (State) -- New York -- History -- 20th century"";""Sweatshops -- New York (State) -- New York -- History -- 20th century"";""Strikes and lockouts -- New York (State) -- 20th century"";""Industrial safety -- New York (State) -- New York -- History -- 20th century"";""Death in art"";""Artists' books"";""Artists' books -- New York (State) -- New York -- 2011. rbgenr"";""Conceptual art. WaU"";""Artists' books -- New York (State)"""
769420034,Specimens of diverse characters,"Micah Slawinski Currier,  CraigJensen,  Russell Maret", 2011,Russell Maret,"Case bindings (gathered matter components,  Specimens   Livres dartistes   Quotations   Artists books",,42 cm,b38646924,N7433.4.M37 S74 2011,eng,dsxx0,"Printing -- Specimens;""Type and type-founding -- Specimens"";""Quotations"";""Artists' books"";""Artists' books. aat"";""Case bindings (gathered matter components). aat"""
794866818,Sophia's lament,"Carolee Campbell,  Dennis Phillips",2012,Ninja Press,Specimens   Bibliography   Artists books,,27 cm,b38646936,PS3566.H4774 S6 2012,eng,dsxx0,"American poetry -- 21st century;""Chapbooks -- Specimens"";""California -- Imprints"""
673357129,None of your damn business,"Barbara Leoff Burge,  Burge  Barbara Leoff ,  Yang  Huanyi ",2009,Women's Studio Workshop,Artists books  Screen printing   Inkjet prints   Folded books ,,20 x 200 cm folded to 20 x 23 cm3 x 2 cm,b38646948,N7433.4.B87 N664 2009,eng,dsxx0,"Burge, Barbara Leoff;""Yang, Huanyi"";""Artists' books -- New York (State) -- Rosendale -- Specimens"";""Serigraphy -- Specimens"";""Nü shu"";""Languages, Secret -- China"";""Women -- China -- Language"";""Chinese language -- China -- Writing"";""Folded books. aat"";""Screen printing. aat"";""Inkjet prints. aat"""
776865489,Fragment by fragment,Lin Charlston,2011,Charlston Books,Specimens   Artists books,Fire destroyed the vegetation of a blanket bog in the Black Mountains of Wales and it has never grown back  The exposed peat is like a huge scar in the landscape and the peat is eroding away     I have related the story of the decaying peat bog--the devastating fire which removed the vegetation and the exposed fragments blowing away in the wind--using my semi-legible font \peatbog\ which comprises letters based on drawings of peat fragments  The story is related through patterning on the page rather than through words  The cover of rich black Arches paper represents the peat while glimpses of green tissue remind us of the vulnerable layer of vegetation which keeps the peat bog intact--Artist\s statement at the Vamp &amp; Tramp Booksellers\ website  viewed on October 8  2015 ,16 x 27 cm,b3864695x,N7433.35.G7 C43 2011,eng,dsxx0,"Artists' books -- Great Britain;""Bogs -- Wales"";""Bog ecology -- Wales"";""Natural disasters -- Wales"""
811147345,Paradise lost,Fred Hagstrom,2012,Strong Silent Type Press,Screen prints   Artists books,Paradise Lost is about nuclear tests in the Marshall Islands conducted by the US in the 40\s and 50\s  It focuses on the first two explosions on Bikini Atoll in 1946  The Bikinians were told that testing the bomb was essential to prevent future wars  They had no way of knowing that they would not be able to return to their island  and how greatly their lives would be affected by the tests  Bikini is still deemed unsafe for their return  The tests also exposed large numbers of service members to dangerous levels of radiation--the first of our atomic veterans  Many of these sailors spent much of their lives in treatment for diseases related to their exposure--Artist\s statement at the Vamp &amp; Tramp Booksellers\ website  viewed on January 7  2015 ,48 cm,b38646961,N7433.4.H2 P38 2012,eng,dsxx0,"Operation Crossroads, Marshall Islands, 1946;""Nuclear weapons -- Marshall Islands -- Bikini Atoll -- Testing"";""Nuclear weapons -- Marshall Islands -- Testing"";""Artists' books -- United States"";""Artists' books"";""Bikini Atoll (Marshall Islands)"""
833181471,Al-Mutanabbi Street,Beata Wehr,2012,B. Wehr,,\Al-Mutanabbi Street\ was created in response to the tragic bombing in Baghdad  The street that was the heart of literary and intellectual community was destroyed in 2007 and many people were killed or injured  The pages contain carpets covered with the pattern of words in different languages and alphabets - all of them mean \a book\  It is a story of Al-Mutanabbi Street - from a flourishing place full of books through the attack to rebirth  It can be read from left to right and from right to left depending on the cultural origin of the reader  My book is a tribute to the people killed or injured there  It is also a statement of my belief in importance of books that despite disasters continue to accompany us through our lives --Artist\s statement ,11 x 16 cm,b38646973,N7433.4.W44 A7 2012,eng,dsxx0,"Artists' books -- Specimens;""Violence -- Iraq -- Baghdad"";""Terrorism in art"";""Shāriʻ al-Mutanabbī (Baghdad, Iraq)"""
833181481,To make you see,Suzanne Sawyer,2012,Down Home Girl Studio,,This collection supports and promotes awareness to the important mission and framework of the Al-Mutanabbi Street Starts Here Coalitions focus on the lasting power of the written word and the arts in support of the free expression of ideas  the preservation of shared cultural spaces  and the importance of responding to attacks  both overt and subtle  on artists  writers  and academics working under oppressive regimes or in zones of conflict  despite the destruction of that literary/cultural content ,folded to 10 x 19 cm,b38646985,N7433.4.S29 T6 2012,eng,dsxx0,"Artists' books;""Books and reading in art"";""Shāriʹ al-Mutanabbī (Baghdad, Iraq)"""
12335627,Subjektive Fotografie,"  Steinert  Otto ,  Robert Knodt,  Ute Eskildsen,  Christel Liesenfeld",1984,Fotografische Sammlung in Museum Folkwang,Exhibition catalogs ,,29 cm,b38646997,TR650 .S82 1984,eng,dsxx0,"Steinert, Otto, 1915-1978 -- Photograph collections;""Photography, Artistic -- Exhibitions"""
11497856,Christie's guide to collecting,Robert Cumming,1984,Prentice-Hall,,,25 cm,b3864700x,N5200 .C48 1984,eng,dsxx0,Art -- Collectors and collecting
14148361,Images from the southwest,"David Lavender,  Marc Gaede",1986,Northland Press,Pictorial works ,,23 x 31 cm,b38647011,F787 .G34 1986,eng,dsxx0,"Natural history -- Southwest, New -- Pictorial works;""Southwest, New -- Pictorial works"""
501113399,Jan Svoboda,"  Svoboda  Jan ,  Antoni\\xcc\\x81n Dufek",1982,Museum of Modern Art,Exhibition catalogs ,,20 x 21 cm,b38647023,TR647 .S86 1982,eng,dsxx0,"Svoboda, Jan, 1934-1990 -- Exhibitions;""Photography, Artistic -- Exhibitions"""
16637389,Light years,James Alinder,1987,The Friends of Photography,Exhibition catalogs ,,24 cm.,b38647035,TR645.C374 L54 1987,eng,dsxx0,"Friends of Photography -- Exhibitions;""Photography, Artistic -- Exhibitions"""
13947203,Composites,"Nancy Burson,  ,  Richard Carling,  David Kramlich",1986,Beech Tree Books,,,29 cm.,b38647047,TR685 .B88 1986,eng,dsxx0,"Burson, Nancy. swd;""Photomontage"";""Portrait photography"";""Photography -- Data processing"";""Porträtphotographie. swd"""
15021527,This edifice is colossal,Robert A  Sobieszek,1986,International Museum of Photography at George Eastman House,Exhibition catalogs   History ,,22 x 28 cm,b38647059,TR659 .S63 1986,eng,dsxx0,Architectural photography -- History -- 19th century -- Exhibitions
